outcode,latitude,longitude
TN29,50.99415510496186,0.9320301030534355
TN30,51.06269359689924,0.6966205271317841
TN31,50.96295369944342,0.684268666048237
TN32,50.979378289256175,0.4905873719008263
TN33,50.911117585714216,0.4740516224489793
TN34,50.865054488112015,0.5822828237762251
TN35,50.88339700749996,0.6140830874999996
TN36,50.920349699029146,0.6988849029126215
TN37,50.872918270742346,0.5572916572052399
TN38,50.86370101826483,0.5435675738203958
TN39,50.84692440086205,0.45123956752873523
TN40,50.84585263121774,0.48295799656946803
ME1,51.37059981418914,0.4964184695945939
ME2,51.39141050052687,0.4814702602739731
ME3,51.43545622389786,0.5473703503480278
ME4,51.381774838993636,0.5291915987421384
ME5,51.3487536046046,0.5327732282282287
ME6,51.32297442038225,0.43493820063694266
ME7,51.37976822351795,0.5558199757045678
ME8,51.36154788743457,0.5974710287958117
ME9,51.336145785796155,0.7218499221076741
ME10,51.34363650000007,0.735808513582343
ME11,51.41299497115386,0.7466989711538464
ME12,51.422098869287986,0.8042917290116888
ME13,51.30420832361236,0.8945222483537159
ME14,51.27908065168553,0.5435708801498091
ME15,51.2532283028986,0.5339572999999997
ME16,51.27399831800763,0.49560084163473794
ME17,51.233521048225725,0.6103455969062785
ME18,51.24163602222221,0.41545518095238104
ME19,51.28991573946365,0.40828716091954037
ME20,51.30277589241623,0.46068388536155164
DA1,51.448077824506015,0.20951093833992127
DA2,51.4323873871595,0.23357757003891058
DA3,51.384149031073484,0.30847907062146845
DA4,51.38863802057612,0.23238756790123463
DA5,51.44063299544418,0.1455598451025058
DA6,51.45509497619046,0.13923681349206346
DA7,51.46564818786992,0.14616230177514772
DA8,51.47576496477805,0.17560371669218983
DA9,51.44786928571429,0.2777331011904761
DA10,51.441079225352134,0.30220439436619717
DA11,51.43470722823527,0.3504896023529417
DA12,51.427751532520375,0.38721756910569116
DA13,51.378120938666676,0.35137204800000027
DA14,51.42492893123776,0.11204806090373282
DA15,51.44158319999999,0.09807322399999997
DA16,51.46484339929334,0.10621997703180214
DA17,51.486478578947334,0.14878198830409364
DA18,51.494287176470586,0.13630283823529415
BR1,51.41202984377465,0.020930363203806403
BR2,51.38725844621511,0.022394132470119538
BR3,51.404523180860366,-0.030042768217734824
BR4,51.374971400537646,-0.008286311827956987
BR5,51.39169240772539,0.1033781974248927
BR6,51.36517049736835,0.091196252631579
BR7,51.41499223593077,0.06523860389610389
BR8,51.398679372950845,0.17452045696721316
SE1,51.49919075312335,-0.09153558720639697
